STN_ID,LON,LAT,STN_SP,HT,HT_PA,HT_TA,HT_WD,HT_RN,STN_CD,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN,Admin_State,Admin_City,Admin_Dong,Admin_Full_Adress
90,128.56473,38.25085,35100,17.53,18.73,1.7,10,1.4,90,속초,Sokcho,11D20401,5182033035,----,강원특별자치도,고성군,토성면,강원특별자치도 고성군 토성면
93,127.75443,37.94738,31201,95.78,96.78,1.5,10,1.4,101,북춘천,Bukchuncheon,11D10301,5111025024,----,강원특별자치도,춘천시,신북읍,강원특별자치도 춘천시 신북읍
95,127.3042,38.14787,31110,155.48,156.98,1.8,13,1.5,101,철원,Cheorwon,11D10101,5178025624,----,강원특별자치도,철원군,갈말읍,강원특별자치도 철원군 갈말읍
98,127.0607,37.90188,22200,115.62,116.74,1.7,10,1,119,동두천,Dongducheon,11B20401,4125010300,----,경기도,동두천시,불현동,경기도 동두천시 불현동
99,126.76648,37.88589,22300,30.59,31.99,1.7,10,1,119,파주,Paju,11B20305,4148025025,----,경기도,파주시,문산읍,경기도 파주시 문산읍
100,128.71834,37.67713,35400,772.43,773.43,1.7,10,1.4,100,대관령,Daegwallyeong,11D20201,5176038024,----,강원특별자치도,평창군,대관령면,강원특별자치도 평창군 대관령면
101,127.7357,37.90262,31210,75.82,77.05,1.5,10,1.4,101,춘천,Chuncheon,11D10301,5111011800,----,강원특별자치도,춘천시,신사우동,강원특별자치도 춘천시 신사우동
102,124.71237,37.97396,21101,36,37.2,1.8,9,1.2,102,백령도,Baengnyeongdo,11A00101,2872033021,----,인천광역시,옹진군,백령면,인천광역시 옹진군 백령면
104,128.85535,37.80456,35201,75.24,76.67,1.7,10,1.4,105,북강릉,Bukgangneung,11D20501,5115036027,----,강원특별자치도,강릉시,사천면,강원특별자치도 강릉시 사천면
105,128.89099,37.75147,35300,27.12,28.22,1.7,10,0.5,105,강릉,Gangneung,11D20501,5115010700,----,강원특별자치도,강릉시,중앙동,강원특별자치도 강릉시 중앙동
106,129.12433,37.50709,35500,40.46,41.66,1.7,10,1.4,106,동해,Donghae,11D20601,5117010400,----,강원특별자치도,동해시,송정동,강원특별자치도 동해시 송정동
108,126.9658,37.57142,11101,85.67,86.67,1.5,10,0.5,108,서울,Seoul,11B10101,1111017800,----,서울특별시,종로구,사직동,서울특별시 종로구 사직동
112,126.6249,37.47772,23201,68.99,70.19,1.6,10,1.2,112,인천,Incheon,11B20201,2811013700,----,인천광역시,중구,동인천동,인천광역시 중구 동인천동
114,127.94659,37.33749,31300,150.11,151.11,1.7,14,1.4,114,원주,Wonju,11D10401,5113010600,----,강원특별자치도,원주시,명륜1동,강원특별자치도 원주시 명륜1동
115,130.89863,37.48129,35601,221.14,223.7,1.6,10,1.3,115,울릉도,Ulleungdo,1.1E+102,4794025024,----,경상북도,울릉군,울릉읍,경상북도 울릉군 울릉읍
119,126.983,37.25746,23311,39.81,40.81,1.6,18.7,1.1,109,수원,Suwon,11B20601,4111312800,----,경기도,수원시 권선구,평동,경기도 수원시 권선구 평동
121,128.45743,37.18126,31400,240.54,242.05,1.7,10,1.4,121,영월,Yeongwol,11D10501,5175025022,----,강원특별자치도,영월군,영월읍,강원특별자치도 영월군 영월읍
127,127.9525,36.97045,41400,114.85,116.25,1.65,10,1,131,충주,Chungju,11C10101,4313012200,----,충청북도,충주시,교현·안림동,충청북도 충주시 교현·안림동
129,126.4939,36.77658,45110,25.25,26.55,1.6,20.2,1.1,129,서산,Seosan,11C20101,4421010600,----,충청남도,서산시,수석동,충청남도 서산시 수석동
130,129.41278,36.99176,71100,48.98,50.18,1.75,10,1.3,136,울진,Uljin,11H10101,4793025023,----,경상북도,울진군,울진읍,경상북도 울진군 울진읍
131,127.44066,36.63924,41111,58.7,60.1,1.7,10,0.8,131,청주,Cheongju,11C10301,4311311400,----,충청북도,청주시 흥덕구,복대1동,충청북도 청주시 흥덕구 복대1동
133,127.3721,36.37199,45201,67.79,68.49,1.4,23.7,1,133,대전,Daejeon,11C20401,3020012400,----,대전광역시,유성구,온천2동,대전광역시 유성구 온천2동
