admi_cty_no,legal_dong_code,city_name,gu_name,dong_name
41000000,4100000000,경기도,,
41110000,4111000000,경기도,수원시,
41111000,4111100000,경기도,수원시 장안구,
41111560,4111112900,경기도,수원시 장안구,파장동
41111566,4111113200,경기도,수원시 장안구,율천동
41111571,4111113000,경기도,수원시 장안구,정자1동
41111572,4111113000,경기도,수원시 장안구,정자2동
41111573,4111113000,경기도,수원시 장안구,정자3동
41111580,4111113400,경기도,수원시 장안구,영화동
41111591,4111113500,경기도,수원시 장안구,송죽동
41111597,4111113600,경기도,수원시 장안구,조원1동
41111598,4111113600,경기도,수원시 장안구,조원2동
41111600,4111113700,경기도,수원시 장안구,연무동
41113000,4111300000,경기도,수원시 권선구,
41113520,4111312600,경기도,수원시 권선구,세류1동
41113530,4111312600,경기도,수원시 권선구,세류2동
41113540,4111312600,경기도,수원시 권선구,세류3동
41113550,4111312700,경기도,수원시 권선구,평동
41113560,4111313100,경기도,수원시 권선구,서둔동
41113650,4111313200,경기도,수원시 권선구,구운동
41113662,4111313400,경기도,수원시 권선구,금곡동
41113664,4111313500,경기도,수원시 권선구,호매실동
41113670,4111313700,경기도,수원시 권선구,권선1동
41113680,4111313700,경기도,수원시 권선구,권선2동
41113690,4111313600,경기도,수원시 권선구,곡선동
41113700,4111314000,경기도,수원시 권선구,입북동
41115000,4111500000,경기도,수원시 팔달구,
41115650,4111513200,경기도,수원시 팔달구,매교동
41115660,4111513400,경기도,수원시 팔달구,매산동
41115670,4111513700,경기도,수원시 팔달구,고등동
41115680,4111513800,경기도,수원시 팔달구,화서1동
41115690,4111513800,경기도,수원시 팔달구,화서2동
41115700,4111513900,경기도,수원시 팔달구,지동
41115710,4111514000,경기도,수원시 팔달구,우만1동
41115720,4111514000,경기도,수원시 팔달구,우만2동
41115730,4111514100,경기도,수원시 팔달구,인계동
41115740,4111512000,경기도,수원시 팔달구,행궁동
41117000,4111700000,경기도,수원시 영통구,
41117510,4111710100,경기도,수원시 영통구,매탄1동
41117520,4111710100,경기도,수원시 영통구,매탄2동
41117530,4111710100,경기도,수원시 영통구,매탄3동
41117540,4111710100,경기도,수원시 영통구,매탄4동
41117550,4111710200,경기도,수원시 영통구,원천동
41117570,4111710500,경기도,수원시 영통구,영통1동
41117580,4111710500,경기도,수원시 영통구,영통2동
41117585,4111710500,경기도,수원시 영통구,영통3동
41117593,4111710700,경기도,수원시 영통구,망포1동
41117596,4111710700,경기도,수원시 영통구,망포2동
41117600,4111710300,경기도,수원시 영통구,광교1동
41117610,4111710400,경기도,수원시 영통구,광교2동
41130000,4113000000,경기도,성남시,
41131000,4113100000,경기도,성남시 수정구,
41131510,4113110100,경기도,성남시 수정구,신흥1동
41131520,4113110100,경기도,성남시 수정구,신흥2동
41131530,4113110100,경기도,성남시 수정구,신흥3동
41131540,4113110200,경기도,성남시 수정구,태평1동
41131550,4113110200,경기도,성남시 수정구,태평2동
41131560,4113110200,경기도,성남시 수정구,태평3동
41131561,4113110200,경기도,성남시 수정구,태평4동
41131570,4113110300,경기도,성남시 수정구,수진1동
41131580,4113110300,경기도,성남시 수정구,수진2동
41131590,4113110400,경기도,성남시 수정구,단대동
41131600,4113110500,경기도,성남시 수정구,산성동
41131610,4113110600,경기도,성남시 수정구,양지동
41131620,4113110700,경기도,성남시 수정구,복정동
41131625,4113110700,경기도,성남시 수정구,위례동
41131630,4113110900,경기도,성남시 수정구,신촌동
41131640,4113111200,경기도,성남시 수정구,고등동
41131650,4113111500,경기도,성남시 수정구,시흥동
41133000,4113300000,경기도,성남시 중원구,
41133510,4113310100,경기도,성남시 중원구,성남동
41133525,4113313200,경기도,성남시 중원구,중앙동
41133530,4113310300,경기도,성남시 중원구,금광1동
41133540,4113310300,경기도,성남시 중원구,금광2동
41133550,4113310400,경기도,성남시 중원구,은행1동
41133560,4113310400,경기도,성남시 중원구,은행2동
41133570,4113310500,경기도,성남시 중원구,상대원1동
41133580,4113310500,경기도,성남시 중원구,상대원2동
41133590,4113310500,경기도,성남시 중원구,상대원3동
41133660,4113310900,경기도,성남시 중원구,하대원동
41133670,4113310600,경기도,성남시 중원구,도촌동
41135000,4113500000,경기도,성남시 분당구,
41135510,4113510100,경기도,성남시 분당구,분당동
41135520,4113510200,경기도,성남시 분당구,수내1동
41135530,4113510200,경기도,성남시 분당구,수내2동
41135540,4113510200,경기도,성남시 분당구,수내3동
41135545,4113510300,경기도,성남시 분당구,정자동
41135550,4113510300,경기도,성남시 분당구,정자1동
41135560,4113510300,경기도,성남시 분당구,정자2동
41135570,4113510300,경기도,성남시 분당구,정자3동
41135580,4113510400,경기도,성남시 분당구,서현1동
41135590,4113510500,경기도,성남시 분당구,서현2동
41135600,4113510600,경기도,성남시 분당구,이매1동
41135610,4113510500,경기도,성남시 분당구,이매2동
41135620,4113510700,경기도,성남시 분당구,야탑1동
41135630,4113510700,경기도,성남시 분당구,야탑2동
41135640,4113510700,경기도,성남시 분당구,야탑3동
41135650,4113510800,경기도,성남시 분당구,판교동
41135655,4113510900,경기도,성남시 분당구,삼평동
41135657,4113511000,경기도,성남시 분당구,백현동
41135662,4113511100,경기도,성남시 분당구,금곡동
41135665,4113511300,경기도,성남시 분당구,구미1동
41135670,4113511400,경기도,성남시 분당구,구미동
41135680,4113511500,경기도,성남시 분당구,운중동
41150000,4115000000,경기도,의정부시,
41150510,4115010100,경기도,의정부시,의정부1동
41150520,4115010100,경기도,의정부시,의정부2동
41150545,4115010200,경기도,의정부시,호원1동
41150555,4115010200,경기도,의정부시,호원2동
41150561,4115010300,경기도,의정부시,장암동
41150567,4115010400,경기도,의정부시,신곡1동
41150568,4115010400,경기도,의정부시,신곡2동
41150573,4115010500,경기도,의정부시,송산1동
41150576,4115010600,경기도,의정부시,송산2동
41150578,4115010600,경기도,의정부시,송산3동
41150580,4115010800,경기도,의정부시,자금동
41150595,4115010100,경기도,의정부시,가능동
41150615,4115010100,경기도,의정부시,흥선동
41150620,4115011100,경기도,의정부시,녹양동
41150630,4115011200,경기도,의정부시,고산동
41170000,4117000000,경기도,안양시,
41171000,4117100000,경기도,안양시 만안구,
41171510,4117110100,경기도,안양시 만안구,안양1동
41171520,4117110100,경기도,안양시 만안구,안양2동
41171530,4117110100,경기도,안양시 만안구,안양3동
41171540,4117110100,경기도,안양시 만안구,안양4동
41171550,4117110100,경기도,안양시 만안구,안양5동
41171560,4117110100,경기도,안양시 만안구,안양6동
41171570,4117110100,경기도,안양시 만안구,안양7동
41171580,4117110100,경기도,안양시 만안구,안양8동
41171581,4117110100,경기도,안양시 만안구,안양9동
41171590,4117110100,경기도,안양시 만안구,석수1동
41171600,4117110200,경기도,안양시 만안구,석수2동
41171611,4117110200,경기도,안양시 만안구,충훈동
41171640,4117110300,경기도,안양시 만안구,박달동
41171650,4117110300,경기도,안양시 만안구,호현동
41173000,4117300000,경기도,안양시 동안구,
41173510,4117110100,경기도,안양시 동안구,비산1동
41173520,4117310100,경기도,안양시 동안구,비산2동
41173530,4117310100,경기도,안양시 동안구,비산3동
41173540,4117310100,경기도,안양시 동안구,부흥동
41173546,4117310100,경기도,안양시 동안구,달안동
41173552,4117310200,경기도,안양시 동안구,관양동
41173559,4117310200,경기도,안양시 동안구,인덕원동
41173566,4117310200,경기도,안양시 동안구,부림동
41173570,4117310300,경기도,안양시 동안구,평촌동
41173576,4117310300,경기도,안양시 동안구,평안동
41173578,4117310300,경기도,안양시 동안구,귀인동
41173580,4117310400,경기도,안양시 동안구,호계1동
41173590,4117310400,경기도,안양시 동안구,호계2동
41173600,4117310400,경기도,안양시 동안구,호계3동
41173610,4117310400,경기도,안양시 동안구,범계동
41173620,4117310400,경기도,안양시 동안구,신촌동
41173630,4117310400,경기도,안양시 동안구,갈산동
41190000,4119000000,경기도,부천시,
41192000,4119200000,경기도,부천시 원미구,
41192510,4119210200,경기도,부천시 원미구,심곡1동
41192520,4119210200,경기도,부천시 원미구,심곡2동
41192530,4119210200,경기도,부천시 원미구,심곡3동
41192540,4119210100,경기도,부천시 원미구,원미1동
41192550,4119210100,경기도,부천시 원미구,원미2동
41192560,4119210600,경기도,부천시 원미구,소사동
41192570,4119210700,경기도,부천시 원미구,역곡1동
41192580,4119210700,경기도,부천시 원미구,역곡2동
41192590,4119210300,경기도,부천시 원미구,춘의동
41192600,4119210400,경기도,부천시 원미구,도당동
41192610,4119210400,경기도,부천시 원미구,약대동
41192620,4119210800,경기도,부천시 원미구,중동
41192630,4119210800,경기도,부천시 원미구,중1동
41192640,4119210800,경기도,부천시 원미구,중2동
41192650,4119210800,경기도,부천시 원미구,중3동
41192660,4119210800,경기도,부천시 원미구,중4동
41192670,4119210900,경기도,부천시 원미구,상동
41192680,4119210900,경기도,부천시 원미구,상1동
41192690,4119210900,경기도,부천시 원미구,상2동
41192700,4119210900,경기도,부천시 원미구,상3동
41194000,4119400000,경기도,부천시 소사구,
41194510,4119410200,경기도,부천시 소사구,심곡본1동
41194520,4119410200,경기도,부천시 소사구,심곡본동
41194530,4119410100,경기도,부천시 소사구,소사본동
41194540,4119410100,경기도,부천시 소사구,소사본1동
41194550,4119410300,경기도,부천시 소사구,범박동
41194560,4119410300,경기도,부천시 소사구,옥길동
41194570,4119410400,경기도,부천시 소사구,괴안동
41194580,4119410400,경기도,부천시 소사구,역곡3동
41194590,4119410500,경기도,부천시 소사구,송내1동
41194600,4119410500,경기도,부천시 소사구,송내2동
41196000,4119600000,경기도,부천시 오정구,
41196510,4119610200,경기도,부천시 오정구,성곡동
41196520,4119610400,경기도,부천시 오정구,원종1동
41196530,4119610100,경기도,부천시 오정구,원종2동
41196540,4119610500,경기도,부천시 오정구,고강본동
41196550,4119610500,경기도,부천시 오정구,고강1동
41196560,4119610100,경기도,부천시 오정구,오정동
41196570,4119610700,경기도,부천시 오정구,신흥동
41210000,4121000000,경기도,광명시,
